target,pgp,step
MEIS1,PGP001,1
MEIS1,PGP002,2
TBX2,PGP003,1
TBX2,PGP004,2
TBX2,PGP005,4
blank,PGP007,3
PAX3,PGP008,2
PAX3,PGP009,4
EGFR,PGP010,3
